Start 		 = FF00FF [MAGENTA]
Ritual Totem	 = 006600 [VERDE ESCURO]
Start Phantom	 = 00FFFF [CIANO]
Wall 1 #Externa	 = AAAAAA [CINZA]
Wall 2 #Interna  = 000000 [PRETO]
Normal Ground	 = FFFFFF [BRANCO]
Slow Ground	 = FFFF00 [AMARELO]
Fast Ground 	 = 00FF00 [VERDE]
Actived Traps	 = FF0000 [VERMELHO]
Desactived Traps = FFAAAA [VERMELHO CLARO]
Buttons		 = FFCC77 [LARANJA CLARO]
Items		 = 8000FF [ROXO]
Ports		 = FF6600 [LARANJA]
Chaves		 = 0050FF [AZUL ESCURO]
Portals		 = 704000 [MARROM]

Resolution 	= 32x24
